"Caption","Name","VariableValue","SystemVariable","Username"
"<SYSTEM>\ComSpec","ComSpec","%SystemRoot%\system32\cmd.exe","True","<SYSTEM>"
"<SYSTEM>\FP_NO_HOST_CHECK","FP_NO_HOST_CHECK","NO","True","<SYSTEM>"
"<SYSTEM>\NUMBER_OF_PROCESSORS","NUMBER_OF_PROCESSORS","4","True","<SYSTEM>"
"<SYSTEM>\OS","OS","Windows_NT","True","<SYSTEM>"
"<SYSTEM>\Path","Path","C:\rktools\;C:\Program Files (x86)\Intel\iCLS Client\;C:\Program Files\Intel\iCLS Client\;%SystemRoot%\system32;%SystemRoot%;%SystemRoot%\System32\Wbem;%SYSTEMROOT%\System32\WindowsPowerShell\v1.0\;C:\Program Files\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files (x86)\Enterprise Vault\EVClient\;%systemroot%\System32\WindowsPowerShell\v1.0\;C:\Data\sysint;C:\Program Files\Microsoft SQL Server\110\Tools\Binn\;C:\Program Files (x86)\Graphviz2.34\bin;C:\Program Files\SolarWinds\DameWare Mini Remote Control 9.0\dwrcc.exe;C:\Program Files\Microsoft Network Monitor 3\","True","<SYSTEM>"
"<SYSTEM>\PATHEXT","PATHEXT",".COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC","True","<SYSTEM>"
"<SYSTEM>\PROCESSOR_ARCHITECTURE","PROCESSOR_ARCHITECTURE","AMD64","True","<SYSTEM>"
"<SYSTEM>\PROCESSOR_IDENTIFIER","PROCESSOR_IDENTIFIER","Intel64 Family 6 Model 58 Stepping 9, GenuineIntel","True","<SYSTEM>"
"<SYSTEM>\PROCESSOR_LEVEL","PROCESSOR_LEVEL","6","True","<SYSTEM>"
"<SYSTEM>\PROCESSOR_REVISION","PROCESSOR_REVISION","3a09","True","<SYSTEM>"
"<SYSTEM>\PSModulePath","PSModulePath","c:\Program Files (x86)\PowerShell Community Extensions\Pscx3\;C:\Windows\system32\WindowsPowerShell\v1.0\Modules\;C:\Program Files\WindowsPowerShell\Modules\;c:\Program Files\System Center 2012\Operations Manager\Powershell\","True","<SYSTEM>"
"<SYSTEM>\TEMP","TEMP","%SystemRoot%\TEMP","True","<SYSTEM>"
"<SYSTEM>\TMP","TMP","%SystemRoot%\TEMP","True","<SYSTEM>"
"<SYSTEM>\USERNAME","USERNAME","SYSTEM","True","<SYSTEM>"
"<SYSTEM>\VS120COMNTOOLS","VS120COMNTOOLS","C:\Program Files (x86)\Microsoft Visual Studio 12.0\Common7\Tools\","True","<SYSTEM>"
"<SYSTEM>\windir","windir","%SystemRoot%","True","<SYSTEM>"
"<SYSTEM>\windows_tracing_flags","windows_tracing_flags","3","True","<SYSTEM>"
"<SYSTEM>\windows_tracing_logfile","windows_tracing_logfile","C:\BVTBin\Tests\installpackage\csilogfile.log","True","<SYSTEM>"
"NT AUTHORITY\SYSTEM\TEMP","TEMP","%USERPROFILE%\AppData\Local\Temp","False","NT AUTHORITY\SYSTEM"
"NT AUTHORITY\SYSTEM\TMP","TMP","%USERPROFILE%\AppData\Local\Temp","False","NT AUTHORITY\SYSTEM"
"NT AUTHORITY\LOCAL SERVICE\TEMP","TEMP","%USERPROFILE%\AppData\Local\Temp","False","NT AUTHORITY\LOCAL SERVICE"
"NT AUTHORITY\LOCAL SERVICE\TMP","TMP","%USERPROFILE%\AppData\Local\Temp","False","NT AUTHORITY\LOCAL SERVICE"
"NT AUTHORITY\NETWORK SERVICE\TEMP","TEMP","%USERPROFILE%\AppData\Local\Temp","False","NT AUTHORITY\NETWORK SERVICE"
"NT AUTHORITY\NETWORK SERVICE\TMP","TMP","%USERPROFILE%\AppData\Local\Temp","False","NT AUTHORITY\NETWORK SERVICE"
"PHL107766\aamadmin\TEMP","TEMP","%USERPROFILE%\AppData\Local\Temp","False","PHL107766\aamadmin"
"PHL107766\aamadmin\TMP","TMP","%USERPROFILE%\AppData\Local\Temp","False","PHL107766\aamadmin"
"ABERDEEN\Oliver Chambers\TEMP","TEMP","%USERPROFILE%\AppData\Local\Temp","False","ABERDEEN\Oliver Chambers"
"ABERDEEN\Oliver Chambers\TMP","TMP","%USERPROFILE%\AppData\Local\Temp","False","ABERDEEN\Oliver Chambers"
"ABERDEEN\admin-jd\TEMP","TEMP","%USERPROFILE%\AppData\Local\Temp","False","ABERDEEN\admin-jd"
"ABERDEEN\admin-jd\TMP","TMP","%USERPROFILE%\AppData\Local\Temp","False","ABERDEEN\admin-jd"
"ABERDEEN\Linda Cartusciello\TEMP","TEMP","%USERPROFILE%\AppData\Local\Temp","False","ABERDEEN\Linda Cartusciello"
"ABERDEEN\Linda Cartusciello\TMP","TMP","%USERPROFILE%\AppData\Local\Temp","False","ABERDEEN\Linda Cartusciello"
"ABERDEEN\Joseph DeRosa\TEMP","TEMP","%USERPROFILE%\AppData\Local\Temp","False","ABERDEEN\Joseph DeRosa"
"ABERDEEN\Joseph DeRosa\TMP","TMP","%USERPROFILE%\AppData\Local\Temp","False","ABERDEEN\Joseph DeRosa"
"ABERDEEN\PHL Board\TEMP","TEMP","%USERPROFILE%\AppData\Local\Temp","False","ABERDEEN\PHL Board"
"ABERDEEN\PHL Board\TMP","TMP","%USERPROFILE%\AppData\Local\Temp","False","ABERDEEN\PHL Board"
"ABERDEEN\admin-pxp\TEMP","TEMP","%USERPROFILE%\AppData\Local\Temp","False","ABERDEEN\admin-pxp"
"ABERDEEN\admin-pxp\TMP","TMP","%USERPROFILE%\AppData\Local\Temp","False","ABERDEEN\admin-pxp"
"ABERDEEN\ScriptLogic Admin\TEMP","TEMP","%USERPROFILE%\AppData\Local\Temp","False","ABERDEEN\ScriptLogic Admin"
"ABERDEEN\ScriptLogic Admin\TMP","TMP","%USERPROFILE%\AppData\Local\Temp","False","ABERDEEN\ScriptLogic Admin"
"ABERDEEN\ScriptLogic User\TEMP","TEMP","%USERPROFILE%\AppData\Local\Temp","False","ABERDEEN\ScriptLogic User"
"ABERDEEN\ScriptLogic User\TMP","TMP","%USERPROFILE%\AppData\Local\Temp","False","ABERDEEN\ScriptLogic User"
"ABERDEEN\admin-fr\TEMP","TEMP","%USERPROFILE%\AppData\Local\Temp","False","ABERDEEN\admin-fr"
"ABERDEEN\admin-fr\TMP","TMP","%USERPROFILE%\AppData\Local\Temp","False","ABERDEEN\admin-fr"
"ABERDEEN\admin-sd\TEMP","TEMP","%USERPROFILE%\AppData\Local\Temp","False","ABERDEEN\admin-sd"
"ABERDEEN\admin-sd\TMP","TMP","%USERPROFILE%\AppData\Local\Temp","False","ABERDEEN\admin-sd"
"ABERDEEN\admin-sc\TEMP","TEMP","%USERPROFILE%\AppData\Local\Temp","False","ABERDEEN\admin-sc"
"ABERDEEN\admin-sc\TMP","TMP","%USERPROFILE%\AppData\Local\Temp","False","ABERDEEN\admin-sc"
"ABERDEEN\Shane Dennery\TEMP","TEMP","%USERPROFILE%\AppData\Local\Temp","False","ABERDEEN\Shane Dennery"
"ABERDEEN\Shane Dennery\TMP","TMP","%USERPROFILE%\AppData\Local\Temp","False","ABERDEEN\Shane Dennery"
"ABERDEEN\Dan Egan\TEMP","TEMP","%USERPROFILE%\AppData\Local\Temp","False","ABERDEEN\Dan Egan"
"ABERDEEN\Dan Egan\TMP","TMP","%USERPROFILE%\AppData\Local\Temp","False","ABERDEEN\Dan Egan"
"ABERDEEN\Sunny Chakraborty\TEMP","TEMP","%USERPROFILE%\AppData\Local\Temp","False","ABERDEEN\Sunny Chakraborty"
"ABERDEEN\Sunny Chakraborty\TMP","TMP","%USERPROFILE%\AppData\Local\Temp","False","ABERDEEN\Sunny Chakraborty"
"ABERDEEN\Sunny Chakraborty\PSModulePath","PSModulePath","U:\WindowsPowerShell\Modules\","False","ABERDEEN\Sunny Chakraborty"
"IIS APPPOOL\DefaultAppPool\TEMP","TEMP","%USERPROFILE%\AppData\Local\Temp","False","IIS APPPOOL\DefaultAppPool"
"IIS APPPOOL\DefaultAppPool\TMP","TMP","%USERPROFILE%\AppData\Local\Temp","False","IIS APPPOOL\DefaultAppPool"
