"ProcessName","ExecutablePath","ProcessId","ParentProcessId","CommandLine","Priority","Date"
"System Idle Process",,"0","0",,"0",
"System",,"4","0",,"8","1/28/2014 7:27:44 AM"
"smss.exe",,"304","4","\SystemRoot\System32\smss.exe","11","1/28/2014 7:27:44 AM"
"csrss.exe","C:\Windows\system32\csrss.exe","500","492","%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=winsrv:ConServerDllInitialization,2 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16","13","1/28/2014 7:28:07 AM"
"csrss.exe","C:\Windows\system32\csrss.exe","580","572","%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=winsrv:ConServerDllInitialization,2 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16","13","1/28/2014 7:28:08 AM"
"wininit.exe","C:\Windows\system32\wininit.exe","588","492","wininit.exe","13","1/28/2014 7:28:08 AM"
"winlogon.exe","C:\Windows\system32\winlogon.exe","644","572","winlogon.exe","13","1/28/2014 7:28:09 AM"
"services.exe","C:\Windows\system32\services.exe","692","588","C:\Windows\system32\services.exe","9","1/28/2014 7:28:10 AM"
"lsass.exe","C:\Windows\system32\lsass.exe","700","588","C:\Windows\system32\lsass.exe","9","1/28/2014 7:28:10 AM"
"lsm.exe","C:\Windows\system32\lsm.exe","708","588","C:\Windows\system32\lsm.exe","8","1/28/2014 7:28:10 AM"
"svchost.exe","C:\Windows\system32\svchost.exe","808","692","C:\Windows\system32\svchost.exe -k DcomLaunch","8","1/28/2014 7:28:19 AM"
"svchost.exe","C:\Windows\system32\svchost.exe","892","692","C:\Windows\system32\svchost.exe -k RPCSS","8","1/28/2014 7:28:20 AM"
"svchost.exe","C:\Windows\System32\svchost.exe","988","692","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted","8","1/28/2014 7:28:21 AM"
"svchost.exe","C:\Windows\System32\svchost.exe","164","692","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted","8","1/28/2014 7:28:21 AM"
"svchost.exe","C:\Windows\system32\svchost.exe","352","692","C:\Windows\system32\svchost.exe -k LocalService","8","1/28/2014 7:28:21 AM"
"svchost.exe","C:\Windows\system32\svchost.exe","360","692","C:\Windows\system32\svchost.exe -k netsvcs","8","1/28/2014 7:28:21 AM"
"svchost.exe","C:\Windows\system32\svchost.exe","824","692","C:\Windows\system32\svchost.exe -k GPSvcGroup","8","1/28/2014 7:28:23 AM"
"svchost.exe","C:\Windows\system32\svchost.exe","1136","692","C:\Windows\system32\svchost.exe -k NetworkService","8","1/28/2014 7:28:26 AM"
"ccSvcHst.exe","C:\Program Files (x86)\Common Files\Symantec Shared\ccSvcHst.exe","1264","692","""C:\Program Files (x86)\Common Files\Symantec Shared\ccSvcHst.exe"" /h ccCommon","8","1/28/2014 7:28:30 AM"
"spoolsv.exe","C:\Windows\System32\spoolsv.exe","1440","692","C:\Windows\System32\spoolsv.exe","8","1/28/2014 7:28:35 AM"
"svchost.exe","C:\Windows\system32\svchost.exe","1472","692","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork","8","1/28/2014 7:28:36 AM"
"armsvc.exe","C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe","1616","692","""C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe""","8","1/28/2014 7:28:38 AM"
"AERTSr64.exe","C:\Program Files\Realtek\Audio\HDA\AERTSr64.EXE","1672","692","""C:\Program Files\Realtek\Audio\HDA\AERTSr64.EXE""","8","1/28/2014 7:28:40 AM"
"svchost.exe","C:\Windows\system32\svchost.exe","1696","692","C:\Windows\system32\svchost.exe -k apphost","8","1/28/2014 7:28:40 AM"
"DWRCS.exe","C:\Windows\dwrcs\dwrcs.exe","1728","692","C:\Windows\dwrcs\dwrcs.exe -service","8","1/28/2014 7:28:40 AM"
"PMService.exe","C:\Windows\SysWOW64\PMService.exe","1808","692","C:\Windows\SysWOW64\PMService.exe","8","1/28/2014 7:28:42 AM"
"inetinfo.exe","C:\Windows\system32\inetsrv\inetinfo.exe","1928","692","C:\Windows\system32\inetsrv\inetinfo.exe","8","1/28/2014 7:28:42 AM"
"HeciServer.exe","C:\Program Files\Intel\iCLS Client\HeciServer.exe","1972","692","""C:\Program Files\Intel\iCLS Client\HeciServer.exe""","8","1/28/2014 7:28:43 AM"
"Jhi_service.exe","C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\DAL\jhi_service.exe","2000","692","""C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\DAL\jhi_service.exe""","8","1/28/2014 7:28:43 AM"
"nsd.exe","C:\Program Files (x86)\IBM\Lotus\Notes\nsd.exe","1160","692","""C:\Program Files (x86)\IBM\Lotus\Notes\nsd.exe"" -svcinvoke -ini ""C:\Programdata\Lotus\Notes\Data\notes.ini""","8","1/28/2014 7:28:46 AM"
"MSCamS64.exe","C:\Program Files\Microsoft LifeCam\MSCamS64.exe","1536","692","""C:\Program Files\Microsoft LifeCam\MSCamS64.exe""","8","1/28/2014 7:28:49 AM"
"ntmulti.exe","C:\Program Files (x86)\IBM\Lotus\Notes\ntmulti.exe","1596","692","""C:\Program Files (x86)\IBM\Lotus\Notes\ntmulti.exe""","8","1/28/2014 7:28:49 AM"
"svchost.exe","C:\Windows\System32\svchost.exe","1772","692","C:\Windows\System32\svchost.exe -k HPZ12","8","1/28/2014 7:28:49 AM"
"SMSvcHost.exe","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe","1580","692","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe","8","1/28/2014 7:28:49 AM"
"svchost.exe","C:\Windows\System32\svchost.exe","2112","692","C:\Windows\System32\svchost.exe -k HPZ12","8","1/28/2014 7:28:54 AM"
"svchost.exe","C:\Windows\system32\svchost.exe","2132","692","C:\Windows\system32\svchost.exe -k regsvc","8","1/28/2014 7:28:54 AM"
"Locator.exe","C:\Windows\system32\locator.exe","2152","692","C:\Windows\system32\locator.exe","8","1/28/2014 7:28:54 AM"
"SDPAgent.exe","C:\Program Files\Safend\Data Protection Agent\SDPAgent.exe","2180","692","""C:\Program Files\Safend\Data Protection Agent\SDPAgent.exe""","8","1/28/2014 7:28:54 AM"
"STSchedEx.exe","C:\Windows\ProPatches\Scheduler\STSchedEx.exe","2260","692","C:\Windows\ProPatches\Scheduler\STSchedEx.exe","8","1/28/2014 7:29:02 AM"
"SLClient.exe","C:\Program Files (x86)\ScriptLogic\Desktop Authority\Client Files\8.12.7\SLClient.exe","2308","692","""C:\Program Files (x86)\ScriptLogic\Desktop Authority\Client Files\8.12.7\SLClient.exe""","8","1/28/2014 7:29:04 AM"
"SnareCore.exe","C:\Program Files\Snare\SnareCore.exe","2344","692","""C:\Program Files\Snare\SnareCore.exe""","8","1/28/2014 7:29:06 AM"
"sqlwriter.exe","C:\Program Files\Microsoft SQL Server\90\Shared\sqlwriter.exe","2384","692","""C:\Program Files\Microsoft SQL Server\90\Shared\sqlwriter.exe""","8","1/28/2014 7:29:06 AM"
"Rtvscan.exe","C:\Program Files (x86)\Symantec\Symantec Endpoint Protection\Rtvscan.exe","2444","692","""C:\Program Files (x86)\Symantec\Symantec Endpoint Protection\Rtvscan.exe""","8","1/28/2014 7:29:07 AM"
"svchost.exe","C:\Windows\system32\svchost.exe","2500","692","C:\Windows\system32\svchost.exe -k iissvcs","8","1/28/2014 7:29:10 AM"
"ScriptLogic.CBM.Agent.exe","C:\Program Files (x86)\ScriptLogic\Desktop Authority\Client Files\8.12.7\CBM\ScriptLogic.CBM.Agent.exe","2548","692","""C:\Program Files (x86)\ScriptLogic\Desktop Authority\Client Files\8.12.7\CBM\ScriptLogic.CBM.Agent.exe""","8","1/28/2014 7:29:12 AM"
"svchost.exe","C:\Windows\System32\svchost.exe","2896","692","C:\Windows\System32\svchost.exe -k LocalServicePeerNet","8","1/28/2014 7:29:23 AM"
"svchost.exe","C:\Windows\system32\svchost.exe","2088","692","C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted","8","1/28/2014 7:29:23 AM"
"SimonPro.exe","C:\Windows\system32\SimonPro.exe","3324","808","""C:\Windows\system32\SimonPro.exe"" -Embedding","8","1/28/2014 7:29:32 AM"
"svchost.exe","C:\Windows\system32\svchost.exe","3588","692","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation","8","1/28/2014 7:29:41 AM"
"SLAgent.exe","C:\PROGRA~2\SCRIPT~1\DESKTO~1\CLIENT~1\812~1.7\SLAgent.exe","3848","808","C:\PROGRA~2\SCRIPT~1\DESKTO~1\CLIENT~1\812~1.7\SLAgent.exe -Embedding","8","1/28/2014 7:29:49 AM"
"ssonsvr.exe","C:\Program Files (x86)\Citrix\ICA Client\ssonsvr.exe","2320","3544","C:\Program Files (x86)\Citrix\ICA Client\ssonsvr.exe /HTC:284","8","1/28/2014 7:30:47 AM"
"taskhost.exe","C:\Windows\system32\taskhost.exe","2884","692","""taskhost.exe""","8","1/28/2014 7:30:52 AM"
"DWRCST.exe","C:\Windows\dwrcs\DWRCST.exe","2904","1728"," 6129","8","1/28/2014 7:30:52 AM"
"dwm.exe","C:\Windows\system32\Dwm.exe","3024","164","""C:\Windows\system32\Dwm.exe""","8","1/28/2014 7:30:53 AM"
"SLAgent.exe","C:\PROGRA~2\SCRIPT~1\DESKTO~1\CLIENT~1\812~1.7\SLAgent.exe","2588","808","C:\PROGRA~2\SCRIPT~1\DESKTO~1\CLIENT~1\812~1.7\SLAgent.exe -Embedding","8","1/28/2014 7:30:54 AM"
"splwow64.exe","C:\Windows\splwow64.exe","2468","3188","C:\Windows\splwow64.exe 12288","8","1/28/2014 7:31:13 AM"
"hkcmd.exe","C:\Windows\System32\hkcmd.exe","3220","3040","""C:\Windows\System32\hkcmd.exe"" ","8","1/28/2014 7:31:18 AM"
"igfxpers.exe","C:\Windows\System32\igfxpers.exe","3660","3040","""C:\Windows\System32\igfxpers.exe"" ","8","1/28/2014 7:31:18 AM"
"RtkNGUI64.exe","C:\Program Files\Realtek\Audio\HDA\RtkNGUI64.exe","3132","3040","""C:\Program Files\Realtek\Audio\HDA\RtkNGUI64.exe"" -s","8","1/28/2014 7:31:18 AM"
"Desktops.exe","C:\Data\sysint\Desktops.exe","776","3040","""C:\Data\sysint\Desktops.exe"" ","8","1/28/2014 7:31:18 AM"
"chrome.exe","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","3676","3040","""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --no-startup-window","8","1/28/2014 7:31:18 AM"
"ccApp.exe","C:\Program Files (x86)\Common Files\Symantec Shared\ccApp.exe","4160","4132","""C:\Program Files (x86)\Common Files\Symantec Shared\ccApp.exe"" ","8","1/28/2014 7:31:19 AM"
"concentr.exe","C:\Program Files (x86)\Citrix\ICA Client\concentr.exe","4328","4132","""C:\Program Files (x86)\Citrix\ICA Client\concentr.exe"" /startup","8","1/28/2014 7:31:19 AM"
"communicator.exe","C:\Program Files (x86)\Microsoft Lync\communicator.exe","4584","3040","""C:\Program Files (x86)\Microsoft Lync\communicator.exe"" ","8","1/28/2014 7:31:25 AM"
"chrome.exe","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","4856","3676","""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=gpu-process --channel=""3676.0.2006715274\522923013"" --disable-image-transport-surface --disable-d3d11 --supports-dual-gpus=false --gpu-driver-bug-workarounds=0,5,13,23 --gpu-vendor-id=0x8086 --gpu-device-id=0x0152 --gpu-driver-vendor=""Intel Corporation"" --gpu-driver-version=8.15.10.2712 --ignored="" --type=renderer "" /prefetch:822062411","8","1/28/2014 7:31:27 AM"
"LMS.exe","C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\LMS\LMS.exe","4876","692","""C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\LMS\LMS.exe""","8","1/28/2014 7:31:27 AM"
"SearchIndexer.exe","C:\Windows\system32\SearchIndexer.exe","4908","692","C:\Windows\system32\SearchIndexer.exe /Embedding","8","1/28/2014 7:31:27 AM"
"pnamain.exe","C:\Program Files (x86)\Citrix\ICA Client\PNAMAIN.EXE","5012","2320","""C:\Program Files (x86)\Citrix\ICA Client\PNAMAIN.EXE"" /HTC:284  ""/startup"" ","8","1/28/2014 7:31:29 AM"
"wfcrun32.exe","C:\Program Files (x86)\Citrix\ICA Client\WFCRUN32.EXE","5036","2320","""C:\Program Files (x86)\Citrix\ICA Client\WFCRUN32.EXE"" /HTC:284 -Embedding","8","1/28/2014 7:31:29 AM"
"Snagit32.exe","C:\Program Files (x86)\TechSmith\Snagit 11\Snagit32.exe","2460","3040","""C:\Program Files (x86)\TechSmith\Snagit 11\Snagit32.exe"" ","8","1/28/2014 7:31:30 AM"
"TSSO.exe","C:\Program Files (x86)\telisca\TSSO\TSSO.exe","3804","3040","""C:\Program Files (x86)\telisca\TSSO\TSSO.exe"" http://10.81.0.103/TSSO/Download/TSSO_Cfg.txt","8","1/28/2014 7:31:31 AM"
"ScriptLogic.CBM.UserExperience.exe","C:\Program Files (x86)\ScriptLogic\Desktop Authority\Client Files\8.12.7\CBM\ScriptLogic.CBM.UserExperience.exe","4100","4132","""C:\Program Files (x86)\ScriptLogic\Desktop Authority\Client Files\8.12.7\CBM\ScriptLogic.CBM.UserExperience.exe"" ","8","1/28/2014 7:31:45 AM"
"LifeExp.exe","C:\Program Files (x86)\Microsoft LifeCam\LifeExp.exe","836","4132","""C:\Program Files (x86)\Microsoft LifeCam\LifeExp.exe"" ","8","1/28/2014 7:31:45 AM"
"TscHelp.exe","C:\Program Files (x86)\TechSmith\Snagit 11\TSCHelp.exe","5200","2460","""C:\Program Files (x86)\TechSmith\Snagit 11\TSCHelp.exe"" ","8","1/28/2014 7:31:55 AM"
"SnagPriv.exe","C:\Program Files (x86)\TechSmith\Snagit 11\SnagPriv.exe","5216","2460","""C:\Program Files (x86)\TechSmith\Snagit 11\SnagPriv.exe"" ","8","1/28/2014 7:31:58 AM"
"cmd.exe","C:\Windows\system32\cmd.exe","5416","3040","""C:\Windows\system32\cmd.exe"" ","8","1/28/2014 7:32:05 AM"
"conhost.exe","C:\Windows\system32\conhost.exe","5424","580","\??\C:\Windows\system32\conhost.exe ""829730739-1390643816-690102455-1221025408-1944458024-7273785601788805351810947353","8","1/28/2014 7:32:05 AM"
"chrome.exe","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","5448","3676","""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=renderer --lang=en-US --force-fieldtrials=""AutocompleteDynamicTrial_2/PP_EnableZeroSuggest_R3_Stable_ArmC/BrowserPreReadExperiment/100-pct-default/ChromeSuggestions/Default/DeferBackgroundExtensionCreation/RateLimited/EmbeddedSearch/Group7 pct:10g stable:pp1 use_cacheable_ntp:1 espv:210 suppress_on_srp:1/ManagedModeLaunch/Active/Prerender/PrerenderEnabled/PrerenderLocalPredictorSpec/LocalPredictor=Disabled/ShowAppLauncherPromo/ShowPromoUntilDismissed/Test0PercentDefault/group_01/UMA-Dynamic-Binary-Uniformity-Trial/default/UMA-Dynamic-Uniformity-Trial/Group3/UMA-New-Install-Uniformity-Trial/Experiment/UMA-Population-Restrict/normal/UMA-Session-Randomized-Uniformity-Trial-5-Percent/group_08/UMA-Uniformity-Trial-1-Percent/group_32/UMA-Uniformity-Trial-10-Percent/default/UMA-Uniformity-Trial-100-Percent/group_01/UMA-Uniformity-Trial-20-Percent/group_03/UMA-Uniformity-Trial-5-Percent/group_07/UMA-Uniformity-Trial-50-Percent/group_01/"" --enable-threaded-compositing --enable-delegated-renderer --enable-deadline-scheduling --extension-process --disable-client-side-phishing-detection --renderer-print-preview --disable-html-notifications --enable-software-compositing --channel=""3676.2.285960980\648411229"" /prefetch:673131151","8","1/28/2014 7:32:06 AM"
"chrome.exe","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","5512","3676","""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=renderer --lang=en-US --force-fieldtrials=""AutocompleteDynamicTrial_2/PP_EnableZeroSuggest_R3_Stable_ArmC/BrowserPreReadExperiment/100-pct-default/ChromeSuggestions/Default/DeferBackgroundExtensionCreation/RateLimited/EmbeddedSearch/Group7 pct:10g stable:pp1 use_cacheable_ntp:1 espv:210 suppress_on_srp:1/ManagedModeLaunch/Active/Prerender/PrerenderEnabled/PrerenderLocalPredictorSpec/LocalPredictor=Disabled/ShowAppLauncherPromo/ShowPromoUntilDismissed/Test0PercentDefault/group_01/UMA-Dynamic-Binary-Uniformity-Trial/default/UMA-Dynamic-Uniformity-Trial/Group3/UMA-New-Install-Uniformity-Trial/Experiment/UMA-Population-Restrict/normal/UMA-Session-Randomized-Uniformity-Trial-5-Percent/group_08/UMA-Uniformity-Trial-1-Percent/group_32/UMA-Uniformity-Trial-10-Percent/default/UMA-Uniformity-Trial-100-Percent/group_01/UMA-Uniformity-Trial-20-Percent/group_03/UMA-Uniformity-Trial-5-Percent/group_07/UMA-Uniformity-Trial-50-Percent/group_01/"" --enable-threaded-compositing --enable-delegated-renderer --enable-deadline-scheduling --extension-process --disable-client-side-phishing-detection --renderer-print-preview --disable-html-notifications --enable-software-compositing --channel=""3676.3.235117794\1400112617"" /prefetch:673131151","8","1/28/2014 7:32:06 AM"
"chrome.exe","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","5524","3676","""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=renderer --lang=en-US --force-fieldtrials=""AutocompleteDynamicTrial_2/PP_EnableZeroSuggest_R3_Stable_ArmC/BrowserPreReadExperiment/100-pct-default/ChromeSuggestions/Default/DeferBackgroundExtensionCreation/RateLimited/EmbeddedSearch/Group7 pct:10g stable:pp1 use_cacheable_ntp:1 espv:210 suppress_on_srp:1/ManagedModeLaunch/Active/Prerender/PrerenderEnabled/PrerenderLocalPredictorSpec/LocalPredictor=Disabled/ShowAppLauncherPromo/ShowPromoUntilDismissed/Test0PercentDefault/group_01/UMA-Dynamic-Binary-Uniformity-Trial/default/UMA-Dynamic-Uniformity-Trial/Group3/UMA-New-Install-Uniformity-Trial/Experiment/UMA-Population-Restrict/normal/UMA-Session-Randomized-Uniformity-Trial-5-Percent/group_08/UMA-Uniformity-Trial-1-Percent/group_32/UMA-Uniformity-Trial-10-Percent/default/UMA-Uniformity-Trial-100-Percent/group_01/UMA-Uniformity-Trial-20-Percent/group_03/UMA-Uniformity-Trial-5-Percent/group_07/UMA-Uniformity-Trial-50-Percent/group_01/"" --enable-threaded-compositing --enable-delegated-renderer --enable-deadline-scheduling --extension-process --disable-client-side-phishing-detection --renderer-print-preview --disable-html-notifications --enable-software-compositing --channel=""3676.4.2081728182\289805858"" /prefetch:673131151","8","1/28/2014 7:32:06 AM"
"chrome.exe","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","5532","3676","""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=renderer --lang=en-US --force-fieldtrials=""AutocompleteDynamicTrial_2/PP_EnableZeroSuggest_R3_Stable_ArmC/BrowserPreReadExperiment/100-pct-default/ChromeSuggestions/Default/DeferBackgroundExtensionCreation/RateLimited/EmbeddedSearch/Group7 pct:10g stable:pp1 use_cacheable_ntp:1 espv:210 suppress_on_srp:1/ManagedModeLaunch/Active/Prerender/PrerenderEnabled/PrerenderLocalPredictorSpec/LocalPredictor=Disabled/ShowAppLauncherPromo/ShowPromoUntilDismissed/Test0PercentDefault/group_01/UMA-Dynamic-Binary-Uniformity-Trial/default/UMA-Dynamic-Uniformity-Trial/Group3/UMA-New-Install-Uniformity-Trial/Experiment/UMA-Population-Restrict/normal/UMA-Session-Randomized-Uniformity-Trial-5-Percent/group_08/UMA-Uniformity-Trial-1-Percent/group_32/UMA-Uniformity-Trial-10-Percent/default/UMA-Uniformity-Trial-100-Percent/group_01/UMA-Uniformity-Trial-20-Percent/group_03/UMA-Uniformity-Trial-5-Percent/group_07/UMA-Uniformity-Trial-50-Percent/group_01/"" --enable-threaded-compositing --enable-delegated-renderer --enable-deadline-scheduling --extension-process --disable-client-side-phishing-detection --renderer-print-preview --disable-html-notifications --enable-software-compositing --channel=""3676.5.1445721835\1935264023"" /prefetch:673131151","8","1/28/2014 7:32:06 AM"
