"DisplayName","PathName","State","StartMode","DesktopInteract","ServiceType","ProcessID"
"Adobe Acrobat Update Service","""C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe""","Running","Auto","False","Own Process","1616"
"Adobe Flash Player Update Service","C:\Windows\SysWOW64\Macromed\Flash\FlashPlayerUpdateService.exe","Stopped","Manual","False","Own Process","0"
"Application Experience","C:\Windows\system32\svchost.exe -k netsvcs","Stopped","Manual","False","Share Process","0"
"Andrea RT Filters Service","C:\Program Files\Realtek\Audio\HDA\AERTSr64.EXE","Running","Auto","False","Own Process","1672"
"Application Layer Gateway Service","C:\Windows\System32\alg.exe","Stopped","Manual","False","Own Process","0"
"Application Host Helper Service","C:\Windows\system32\svchost.exe -k apphost","Running","Auto","False","Share Process","1696"
"Application Identity","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation","Stopped","Manual","False","Share Process","0"
"Application Information","C:\Windows\system32\svchost.exe -k netsvcs","Stopped","Manual","False","Share Process","0"
"Application Management","C:\Windows\system32\svchost.exe -k netsvcs","Stopped","Manual","False","Share Process","0"
"ASP.NET State Service","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\aspnet_state.exe","Stopped","Manual","False","Own Process","0"
"Windows Audio Endpoint Builder","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted","Running","Auto","False","Share Process","164"
"Windows Audio","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted","Running","Auto","False","Share Process","988"
"ActiveX Installer (AxInstSV)","C:\Windows\system32\svchost.exe -k AxInstSVGroup","Stopped","Manual","False","Share Process","0"
"BitLocker Drive Encryption Service","C:\Windows\System32\svchost.exe -k netsvcs","Stopped","Manual","False","Share Process","0"
"Base Filtering Engine","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork","Running","Auto","False","Share Process","1472"
"Background Intelligent Transfer Service","C:\Windows\System32\svchost.exe -k netsvcs","Running","Auto","False","Share Process","360"
"Computer Browser","C:\Windows\System32\svchost.exe -k netsvcs","Stopped","Manual","False","Share Process","0"
"Bluetooth Support Service","C:\Windows\system32\svchost.exe -k bthsvcs","Stopped","Manual","False","Share Process","0"
"Symantec Event Manager","""C:\Program Files (x86)\Common Files\Symantec Shared\ccSvcHst.exe"" /h ccCommon","Running","Auto","False","Share Process","1264"
"Symantec Settings Manager","""C:\Program Files (x86)\Common Files\Symantec Shared\ccSvcHst.exe"" /h ccCommon","Running","Auto","False","Share Process","1264"
"Certificate Propagation","C:\Windows\system32\svchost.exe -k netsvcs","Running","Manual","False","Share Process","360"
"Microsoft .NET Framework NGEN v2.0.50727_X86","C:\Windows\Microsoft.NET\Framework\v2.0.50727\mscorsvw.exe","Stopped","Manual","False","Own Process","0"
"Microsoft .NET Framework NGEN v2.0.50727_X64","C:\Windows\Microsoft.NET\Framework64\v2.0.50727\mscorsvw.exe","Stopped","Manual","False","Own Process","0"
"Microsoft .NET Framework NGEN v4.0.30319_X86","C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe","Stopped","Auto","False","Own Process","0"
"Microsoft .NET Framework NGEN v4.0.30319_X64","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe","Stopped","Auto","False","Own Process","0"
"COM+ System Application","C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}","Stopped","Manual","False","Own Process","0"
"Intel(R) Content Protection HECI Service","C:\Windows\SysWow64\IntelCpHeciSvc.exe","Stopped","Manual","False","Own Process","0"
"Cryptographic Services","C:\Windows\system32\svchost.exe -k NetworkService","Running","Auto","False","Share Process","1136"
"Offline Files","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted","Stopped","Disabled","False","Share Process","0"
"DCOM Server Process Launcher","C:\Windows\system32\svchost.exe -k DcomLaunch","Running","Auto","False","Share Process","808"
"Disk Defragmenter","C:\Windows\system32\svchost.exe -k defragsvc","Stopped","Manual","False","Own Process","0"
"DHCP Client","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted","Running","Auto","False","Share Process","988"
"DNS Client","C:\Windows\system32\svchost.exe -k NetworkService","Running","Auto","False","Share Process","1136"
"Wired AutoConfig","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted","Stopped","Manual","False","Share Process","0"
"Diagnostic Policy Service","C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork","Running","Auto","False","Share Process","1472"
"DameWare Mini Remote Control","C:\Windows\dwrcs\dwrcs.exe -service","Running","Auto","False","Own Process","1728"
"Extensible Authentication Protocol","C:\Windows\System32\svchost.exe -k netsvcs","Running","Manual","False","Share Process","360"
"Encrypting File System (EFS)","C:\Windows\System32\lsass.exe","Running","Auto","False","Share Process","700"
"Windows Media Center Receiver Service","C:\Windows\ehome\ehRecvr.exe","Stopped","Manual","False","Own Process","0"
"Windows Media Center Scheduler Service","C:\Windows\ehome\ehsched.exe","Stopped","Manual","False","Own Process","0"
"Energy Star(TM) EZ GPO Power Management Configuration Tool","C:\Windows\system32\PMService.exe","Running","Auto","False","Own Process","1808"
"Windows Event Log","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted","Running","Auto","False","Share Process","988"
"COM+ Event System","C:\Windows\system32\svchost.exe -k LocalService","Running","Auto","False","Share Process","352"
"Fax","C:\Windows\system32\fxssvc.exe","Stopped","Manual","False","Own Process","0"
"Function Discovery Provider Host","C:\Windows\system32\svchost.exe -k LocalService","Running","Manual","False","Share Process","352"
"Function Discovery Resource Publication","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation","Stopped","Manual","False","Share Process","0"
"Windows Font Cache Service","C:\Windows\system32\svchost.exe -k LocalService","Running","Auto","False","Share Process","352"
"Windows Presentation Foundation Font Cache 3.0.0.0","C:\Windows\Microsoft.Net\Framework64\v3.0\WPF\PresentationFontCache.exe","Stopped","Manual","False","Own Process","0"
"Group Policy Client","C:\Windows\system32\svchost.exe -k GPSvcGroup","Running","Auto","False","Own Process","824"
"Google Update Service (gupdate)","""C:\Program Files (x86)\Google\Update\GoogleUpdate.exe"" /svc","Stopped","Auto","False","Own Process","0"
"Google Update Service (gupdatem)","""C:\Program Files (x86)\Google\Update\GoogleUpdate.exe"" /medsvc","Stopped","Manual","False","Own Process","0"
"Human Interface Device Access","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted","Running","Manual","False","Share Process","164"
"Health Key and Certificate Management","C:\Windows\System32\svchost.exe -k netsvcs","Stopped","Manual","False","Share Process","0"
"HomeGroup Listener","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted","Stopped","Manual","False","Share Process","0"
"HomeGroup Provider","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted","Stopped","Manual","False","Share Process","0"
"Windows CardSpace","""C:\Windows\Microsoft.NET\Framework64\v3.0\Windows Communication Foundation\infocard.exe""","Stopped","Manual","False","Share Process","0"
"IIS Admin Service","C:\Windows\system32\inetsrv\inetinfo.exe","Running","Auto","False","Share Process","1928"
"IKE and AuthIP IPsec Keying Modules","C:\Windows\system32\svchost.exe -k netsvcs","Running","Auto","False","Share Process","360"
"Intel(R) Capability Licensing Service Interface","""C:\Program Files\Intel\iCLS Client\HeciServer.exe""","Running","Auto","False","Own Process","1972"
"PnP-X IP Bus Enumerator","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted","Stopped","Manual","False","Share Process","0"
"IP Helper","C:\Windows\System32\svchost.exe -k NetSvcs","Running","Auto","False","Share Process","360"
"Intel(R) Dynamic Application Loader Host Interface Service","C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\DAL\jhi_service.exe","Running","Auto","False","Own Process","2000"
"CNG Key Isolation","C:\Windows\system32\lsass.exe","Running","Manual","False","Share Process","700"
"KtmRm for Distributed Transaction Coordinator","C:\Windows\System32\svchost.exe -k NetworkServiceAndNoImpersonation","Stopped","Manual","False","Share Process","0"
"Server","C:\Windows\system32\svchost.exe -k netsvcs","Running","Auto","False","Share Process","360"
"Workstation","C:\Windows\System32\svchost.exe -k NetworkService","Running","Auto","False","Share Process","1136"
"LiveUpdate","""C:\PROGRA~2\Symantec\LIVEUP~1\LUCOMS~1.EXE""","Stopped","Manual","False","Own Process","0"
"Link-Layer Topology Discovery Mapper","C:\Windows\System32\svchost.exe -k LocalService","Stopped","Manual","False","Share Process","0"
"TCP/IP NetBIOS Helper","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted","Running","Auto","False","Share Process","988"
"Intel(R) Management and Security Application Local Management Service","C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\LMS\LMS.exe","Running","Auto","False","Own Process","4876"
"Lotus Notes Diagnostics","""C:\Program Files (x86)\IBM\Lotus\Notes\nsd.exe"" -svcinvoke -ini ""C:\Programdata\Lotus\Notes\Data\notes.ini""","Running","Auto","True","Own Process","1160"
"Media Center Extender Service","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation","Stopped","Disabled","False","Share Process","0"
"Multimedia Class Scheduler","C:\Windows\system32\svchost.exe -k netsvcs","Running","Auto","False","Share Process","360"
"Windows Firewall","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork","Running","Auto","False","Share Process","1472"
"MSCamSvc","""C:\Program Files\Microsoft LifeCam\MSCamS64.exe""","Running","Auto","False","Own Process","1536"
"Distributed Transaction Coordinator","C:\Windows\System32\msdtc.exe","Stopped","Manual","False","Own Process","0"
"Microsoft iSCSI Initiator Service","C:\Windows\system32\svchost.exe -k netsvcs","Stopped","Manual","False","Share Process","0"
"Windows Installer","C:\Windows\system32\msiexec.exe /V","Stopped","Manual","False","Own Process","0"
"Multi-user Cleanup Service","""C:\Program Files (x86)\IBM\Lotus\Notes\ntmulti.exe""","Running","Auto","True","Own Process","1596"
"Network Access Protection Agent","C:\Windows\System32\svchost.exe -k NetworkService","Stopped","Manual","False","Share Process","0"
"Net Driver HPZ12","C:\Windows\System32\svchost.exe -k HPZ12","Running","Auto","False","Own Process","1772"
"Netlogon","C:\Windows\system32\lsass.exe","Running","Auto","False","Share Process","700"
"Network Connections","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted","Running","Manual","False","Share Process","164"
"Net.Msmq Listener Adapter","""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe"" -NetMsmqActivator","Stopped","Disabled","False","Share Process","0"
"Net.Pipe Listener Adapter","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe","Running","Auto","False","Share Process","1580"
"Network List Service","C:\Windows\System32\svchost.exe -k LocalService","Running","Manual","False","Share Process","352"
"Net.Tcp Listener Adapter","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe","Running","Auto","False","Share Process","1580"
"Net.Tcp Port Sharing Service","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe","Running","Manual","False","Share Process","1580"
"1E NightWatchman","""C:\Program Files\1E\Agent\NightWatchman\NwmSvc.exe""","Stopped","Disabled","False","Own Process","0"
"Network Location Awareness","C:\Windows\System32\svchost.exe -k NetworkService","Running","Auto","False","Share Process","1136"
"Network Store Interface Service","C:\Windows\system32\svchost.exe -k LocalService","Running","Auto","False","Share Process","352"
"Office  Source Engine","""C:\Program Files (x86)\Common Files\Microsoft Shared\Source Engine\OSE.EXE""","Stopped","Manual","False","Own Process","0"
"Office Software Protection Platform","""C:\Program Files\Common Files\Microsoft Shared\OfficeSoftwareProtectionPlatform\OSPPSVC.EXE""","Running","Manual","False","Own Process","5700"
"Peer Networking Identity Manager","C:\Windows\System32\svchost.exe -k LocalServicePeerNet","Running","Manual","False","Share Process","2896"
"Peer Networking Grouping","C:\Windows\System32\svchost.exe -k LocalServicePeerNet","Stopped","Manual","False","Share Process","0"
"Program Compatibility Assistant Service","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted","Running","Auto","False","Share Process","164"
"BranchCache","C:\Windows\System32\svchost.exe -k PeerDist","Stopped","Manual","False","Share Process","0"
"Performance Counter DLL Host","C:\Windows\SysWow64\perfhost.exe","Stopped","Manual","False","Own Process","0"
"Performance Logs & Alerts","C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork","Stopped","Manual","False","Share Process","0"
"Plug and Play","C:\Windows\system32\svchost.exe -k DcomLaunch","Running","Auto","False","Share Process","808"
"Pml Driver HPZ12","C:\Windows\System32\svchost.exe -k HPZ12","Running","Auto","False","Own Process","2112"
"PNRP Machine Name Publication Service","C:\Windows\System32\svchost.exe -k LocalServicePeerNet","Stopped","Manual","False","Share Process","0"
"Peer Name Resolution Protocol","C:\Windows\System32\svchost.exe -k LocalServicePeerNet","Running","Manual","False","Share Process","2896"
"IPsec Policy Agent","C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted","Running","Manual","False","Share Process","2088"
"Power","C:\Windows\system32\svchost.exe -k DcomLaunch","Running","Auto","False","Share Process","808"
"User Profile Service","C:\Windows\system32\svchost.exe -k netsvcs","Running","Auto","False","Share Process","360"
"Protected Storage","C:\Windows\system32\lsass.exe","Running","Manual","False","Share Process","700"
"Quality Windows Audio Video Experience","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation","Stopped","Manual","False","Share Process","0"
"Remote Access Auto Connection Manager","C:\Windows\System32\svchost.exe -k netsvcs","Stopped","Manual","False","Share Process","0"
"Remote Access Connection Manager","C:\Windows\System32\svchost.exe -k netsvcs","Stopped","Manual","False","Share Process","0"
"Routing and Remote Access","C:\Windows\System32\svchost.exe -k netsvcs","Stopped","Disabled","False","Share Process","0"
"Remote Registry","C:\Windows\system32\svchost.exe -k regsvc","Running","Auto","False","Share Process","2132"
"Remote Packet Capture Protocol v.0 (experimental)","""C:\Program Files (x86)\WinPcap\rpcapd.exe"" -d -f ""C:\Program Files (x86)\WinPcap\rpcapd.ini""","Stopped","Manual","False","Own Process","0"
"RPC Endpoint Mapper","C:\Windows\system32\svchost.exe -k RPCSS","Running","Auto","False","Share Process","892"
"Remote Procedure Call (RPC) Locator","C:\Windows\system32\locator.exe","Running","Manual","False","Own Process","2152"
"Remote Procedure Call (RPC)","C:\Windows\system32\svchost.exe -k rpcss","Running","Auto","False","Share Process","892"
"Security Accounts Manager","C:\Windows\system32\lsass.exe","Running","Auto","False","Share Process","700"
"Smart Card","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation","Stopped","Manual","False","Share Process","0"
"Task Scheduler","C:\Windows\system32\svchost.exe -k netsvcs","Running","Auto","False","Share Process","360"
"Smart Card Removal Policy","C:\Windows\system32\svchost.exe -k netsvcs","Stopped","Manual","False","Share Process","0"
"ScriptLogic CBM Service","""C:\Program Files (x86)\ScriptLogic\Desktop Authority\Client Files\8.12.7\CBM\ScriptLogic.CBM.Agent.exe""","Running","Auto","False","Own Process","2548"
"Data Burning Agent","C:\Program Files\Safend\Data Protection Agent\SDBAgent.exe","Stopped","Manual","False","Own Process","0"
"Data Protection Agent","C:\Program Files\Safend\Data Protection Agent\SDPAgent.exe","Running","Auto","False","Own Process","2180"
"Windows Backup","C:\Windows\system32\svchost.exe -k SDRSVC","Stopped","Manual","False","Own Process","0"
"Secondary Logon","C:\Windows\system32\svchost.exe -k netsvcs","Running","Manual","False","Share Process","360"
"System Event Notification Service","C:\Windows\system32\svchost.exe -k netsvcs","Stopped","Disabled","False","Share Process","0"
"Adaptive Brightness","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation","Stopped","Manual","False","Share Process","0"
"Remote Desktop Configuration","C:\Windows\System32\svchost.exe -k netsvcs","Running","Manual","False","Share Process","360"
"Internet Connection Sharing (ICS)","C:\Windows\System32\svchost.exe -k netsvcs","Stopped","Disabled","False","Share Process","0"
"Shavlik Remote Scheduler Service","C:\Windows\ProPatches\Scheduler\STSchedEx.exe","Running","Auto","True","Own Process","2260"
"Shell Hardware Detection","C:\Windows\System32\svchost.exe -k netsvcs","Running","Auto","False","Share Process","360"
"ScriptLogic Service","""C:\Program Files (x86)\ScriptLogic\Desktop Authority\Client Files\8.12.7\SLClient.exe""","Running","Auto","False","Own Process","2308"
"Symantec Management Client","""C:\Program Files (x86)\Symantec\Symantec Endpoint Protection\Smc.exe""","Stopped","Auto","True","Own Process","0"
"Symantec Network Access Control","""C:\Program Files (x86)\Symantec\Symantec Endpoint Protection\SNAC64.EXE""","Stopped","Disabled","False","Own Process","0"
"Snare","""C:\Program Files\Snare\SnareCore.exe""","Running","Auto","False","Own Process","2344"
"SNMP Trap","C:\Windows\System32\snmptrap.exe","Stopped","Manual","False","Own Process","0"
"Print Spooler","C:\Windows\System32\spoolsv.exe","Running","Auto","True","Own Process","1440"
"Software Protection","C:\Windows\system32\sppsvc.exe","Stopped","Auto","False","Own Process","0"
"SPP Notification Service","C:\Windows\system32\svchost.exe -k LocalService","Stopped","Manual","False","Share Process","0"
"SQL Server VSS Writer","""C:\Program Files\Microsoft SQL Server\90\Shared\sqlwriter.exe""","Running","Auto","False","Own Process","2384"
"SSDP Discovery","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation","Running","Manual","False","Share Process","3588"
"Secure Socket Tunneling Protocol Service","C:\Windows\system32\svchost.exe -k LocalService","Stopped","Manual","False","Share Process","0"
"Windows Image Acquisition (WIA)","C:\Windows\system32\svchost.exe -k imgsvc","Stopped","Manual","False","Own Process","0"
"Storage Service","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted","Stopped","Manual","False","Share Process","0"
"Microsoft Software Shadow Copy Provider","C:\Windows\System32\svchost.exe -k swprv","Stopped","Manual","False","Own Process","0"
"Symantec Endpoint Protection","""C:\Program Files (x86)\Symantec\Symantec Endpoint Protection\Rtvscan.exe""","Running","Auto","False","Own Process","2444"
"Superfetch","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted","Running","Auto","False","Share Process","164"
"Tablet PC Input Service","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted","Stopped","Manual","False","Share Process","0"
"Telephony","C:\Windows\System32\svchost.exe -k NetworkService","Stopped","Manual","False","Share Process","0"
"TPM Base Services","C:\Windows\System32\svchost.exe -k LocalServiceAndNoImpersonation","Stopped","Manual","False","Share Process","0"
"Te.Service","C:\WDK\Testing\Runtimes\TAEF\Wex.Services.exe","Stopped","Manual","False","Share Process","0"
"Remote Desktop Services","C:\Windows\System32\svchost.exe -k NetworkService","Running","Manual","False","Share Process","1136"
"Themes","C:\Windows\System32\svchost.exe -k netsvcs","Running","Auto","False","Share Process","360"
"Thread Ordering Server","C:\Windows\system32\svchost.exe -k LocalService","Stopped","Manual","False","Share Process","0"
"Distributed Link Tracking Client","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted","Running","Auto","False","Share Process","164"
"Windows Modules Installer","C:\Windows\servicing\TrustedInstaller.exe","Stopped","Manual","False","Own Process","0"
"Interactive Services Detection","C:\Windows\system32\UI0Detect.exe","Stopped","Manual","True","Own Process","0"
"Remote Desktop Services UserMode Port Redirector","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted","Running","Manual","False","Share Process","164"
"Intel(R) Management and Security Application User Notification Service","""C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\UNS\UNS.exe""","Running","Auto","False","Own Process","6912"
"UPnP Device Host","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation","Stopped","Manual","False","Share Process","0"
"Desktop Window Manager Session Manager","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted","Running","Auto","False","Share Process","164"
"Credential Manager","C:\Windows\system32\lsass.exe","Stopped","Manual","False","Share Process","0"
"Virtual Disk","C:\Windows\System32\vds.exe","Stopped","Manual","False","Own Process","0"
"Visual Studio ETW Event Collection Service","""C:\Program Files (x86)\Microsoft Visual Studio 12.0\Common7\Packages\Debugger\Services\VsEtwService.exe""","Stopped","Manual","False","Own Process","0"
"Volume Shadow Copy","C:\Windows\system32\vssvc.exe","Stopped","Manual","False","Own Process","0"
"Windows Time","C:\Windows\system32\svchost.exe -k LocalService","Running","Manual","False","Share Process","352"
"World Wide Web Publishing Service","C:\Windows\system32\svchost.exe -k iissvcs","Running","Auto","False","Share Process","2500"
"1E WakeUp Agent","""C:\Program Files\1E\Agent\WakeUp\WakeUpAgt.exe""","Stopped","Disabled","False","Own Process","0"
"Windows Process Activation Service","C:\Windows\system32\svchost.exe -k iissvcs","Running","Manual","False","Share Process","2500"
"Windows Activation Technologies Service","C:\Windows\system32\Wat\WatAdminSvc.exe","Stopped","Manual","False","Own Process","0"
"Block Level Backup Engine Service","""C:\Windows\system32\wbengine.exe""","Stopped","Manual","False","Own Process","0"
"Windows Biometric Service","C:\Windows\system32\svchost.exe -k WbioSvcGroup","Stopped","Manual","False","Share Process","0"
"Windows Connect Now - Config Registrar","C:\Windows\System32\svchost.exe -k LocalServiceAndNoImpersonation","Running","Manual","False","Share Process","3588"
"Windows Color System","C:\Windows\system32\svchost.exe -k wcssvc","Stopped","Manual","False","Share Process","0"
"Diagnostic Service Host","C:\Windows\System32\svchost.exe -k LocalService","Running","Manual","False","Share Process","352"
"Diagnostic System Host","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted","Stopped","Manual","False","Share Process","0"
"WebClient","C:\Windows\system32\svchost.exe -k LocalService","Stopped","Manual","False","Share Process","0"
"Windows Event Collector","C:\Windows\system32\svchost.exe -k NetworkService","Stopped","Manual","False","Share Process","0"
"Problem Reports and Solutions Control Panel Support","C:\Windows\System32\svchost.exe -k netsvcs","Stopped","Manual","False","Share Process","0"
"Windows Error Reporting Service","C:\Windows\System32\svchost.exe -k WerSvcGroup","Stopped","Manual","False","Share Process","0"
"Windows Defender","C:\Windows\System32\svchost.exe -k secsvcs","Stopped","Manual","False","Share Process","0"
"WinHTTP Web Proxy Auto-Discovery Service","C:\Windows\system32\svchost.exe -k LocalService","Stopped","Manual","False","Share Process","0"
"Windows Management Instrumentation","C:\Windows\system32\svchost.exe -k netsvcs","Running","Auto","False","Share Process","360"
"Windows Remote Management (WS-Management)","C:\Windows\System32\svchost.exe -k NetworkService","Stopped","Manual","False","Share Process","0"
"WLAN AutoConfig","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted","Running","Auto","False","Share Process","164"
"WMI Performance Adapter","C:\Windows\system32\wbem\WmiApSrv.exe","Stopped","Manual","False","Own Process","0"
"Windows Media Player Network Sharing Service","""C:\Program Files\Windows Media Player\wmpnetwk.exe""","Stopped","Manual","False","Own Process","0"
"Parental Controls","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted","Stopped","Manual","False","Share Process","0"
"Portable Device Enumerator Service","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted","Stopped","Manual","False","Share Process","0"
"Security Center","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted","Running","Auto","False","Share Process","988"
"Windows Search","C:\Windows\system32\SearchIndexer.exe /Embedding","Running","Auto","False","Own Process","4908"
"Windows Update","C:\Windows\system32\svchost.exe -k netsvcs","Running","Auto","False","Share Process","360"
"Windows Driver Foundation - User-mode Driver Framework","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted","Running","Auto","False","Share Process","164"
"WWAN AutoConfig","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork","Stopped","Manual","False","Share Process","0"
